section name,subnet,description
Jackson,172.24.15.0/24,Imported from AD Sites and Services - Jackson HQ - spare
Jackson,172.24.16.0/22,Imported from AD Sites and Services - Lakeland
Jackson,172.24.20.0/24,Imported from AD Sites and Services - Jackson - spare
Jackson,172.24.21.0/24,Imported from AD Sites and Services - Jackson - spare
Jackson,172.24.22.0/24,Imported from AD Sites and Services - Jackson - spare
Jackson,172.24.23.0/24,Imported from AD Sites and Services - Jackson - spare
Jackson,172.24.24.0/24,Imported from AD Sites and Services - Jackson - spare
Jackson,172.24.8.0/23,Imported from AD Sites and Services - Jackson HQ
Karlsruhe,172.23.144.0/24,Imported from AD Sites and Services - 
Karlsruhe,172.23.180.0/24,Imported from AD Sites and Services - Karlsruhe
Karlsruhe,172.23.66.0/24,Imported from AD Sites and Services - Karlsruhe
Karlsruhe,172.23.74.0/23,Imported from AD Sites and Services - Kassel
Kiev,172.23.100.0/24,Imported from AD Sites and Services - Kiev
Kuala Lumpur,172.23.11.0/24,Imported from AD Sites and Services - Kuala Lumpur
Macon,172.23.116.0/23,Imported from AD Sites and Services - 
Macon,172.23.46.0/23,"Imported from AD Sites and Services - Macon, FR"
Manchester,172.23.82.0/23,"Imported from AD Sites and Services - Manchester, UK"
Massy,172.23.156.0/24,"Imported from AD Sites and Services - Massy, FR"
Massy,172.23.158.0/24,"Imported from AD Sites and Services - Massy, FR"
Massy,172.23.159.0/24,"Imported from AD Sites and Services - Massy, FR"
Massy,172.23.56.0/24,Imported from AD Sites and Services - 
Melbourne,10.140.1.0/24,Imported from AD Sites and Services - SSNI
Melbourne,10.140.113.0/24,Imported from AD Sites and Services - SSNI
Melbourne,10.140.114.0/24,Imported from AD Sites and Services - SSNI
Melbourne,10.140.116.0/24,Imported from AD Sites and Services - SSNI
Melbourne,10.140.128.0/24,Imported from AD Sites and Services - 
Melbourne,192.168.90.160/27,Imported from AD Sites and Services - Melbourne
Mexico,172.17.88.0/24,Imported from AD Sites and Services - LAN - 172.17.88.x - 172.17.91.x
Milford,192.168.90.0/27,"Imported from AD Sites and Services - Milford, CT, US"
New Delhi,172.23.13.0/26,Imported from AD Sites and Services - New Delhi
New-Jersey,10.201.4.0/24,Imported from AD Sites and Services - DEM
New-Jersey,10.201.5.0/24,Imported from AD Sites and Services - DEM
New-Jersey,10.201.6.0/24,Imported from AD Sites and Services - DEM
New-Jersey,10.201.7.0/24,Imported from AD Sites and Services - DEM
New-Jersey,172.31.127.0/24,Imported from AD Sites and Services - DEM
New-Jersey,172.31.208.64/27,Imported from AD Sites and Services - DEM
Noisy,172.23.28.0/24,Imported from AD Sites and Services - Noisy le Grand
Noisy,172.23.31.0/24,Imported from AD Sites and Services - Noisy le Grand
Norcross,10.100.14.0/24,Imported from AD Sites and Services - LAN - Norcross Infrastructure
Oakland,192.168.218.0/24,Imported from AD Sites and Services - IP Phones
Oakland,192.168.72.0/24,Imported from AD Sites and Services - LAN
Oconee,10.137.0.0/16,Imported from AD Sites and Services - 
Oconee,172.17.10.0/24,Imported from AD Sites and Services - Oconee Voice 1
